RAT MESENTERY 546 segments

    segment_name  node_from     node_to    segment_diameter
	1119	119	2102	6.32
	1120	120	2101	6.43
	1121	121	2114	6.52
	1122	122	2064	5.3
	1123	123	2117	5.64
	1126	126	2112	6.79
	1127	127	2121	6.79
	1128	128	2123	8.11
	1134	134	2110	10.89
	1135	135	2117	5.08
	1137	137	2257	7.53
	1138	138	2256	4.54
	1139	139	2265	7.75
	1171	822	2221	8.86
	1179	821	2223	8.29
	1210	838	2197	7.24
	1214	214	2203	10.1
	1215	215	2205	6.95
	1216	216	819	12.63
	1220	220	2303	6.95
	1221	221	2251	5.4
	1222	222	2002	6.06
	1223	223	2274	6.43
	1230	230	2275	11.62
	1231	231	2275	9.9
	1235	235	2090	6.84
	1236	236	2086	7.05
	1237	237	2088	8.71
	1238	238	2088	8.91
	1302	302	2118	6.43
	1303	303	831	10.5
	1321	321	2304	7.05
	1327	327	2309	4.41
	1352	352	2127	4.2
	1380	380	2070	5.61
	1387	387	2324	6.13
	1399	399	2261	7.35
	1402	801	2082	7.52
	1403	803	2024	7.53
	1409	804	2023	6.7
	1521	21	2174	7.05
	1522	22	2190	3.87
	1523	23	2193	6.52
	1524	13	2207	4.41
	1527	27	2209	3.87
	1532	32	2160	6.79
	1535	35	2226	3.99
	1537	37	2217	4.31
	1546	46	2151	6.59
	1547	47	2167	7.05
	1549	49	2165	11.09
	1551	51	2152	5.08
	1565	65	2149	7.14
	1567	67	2041	9.77
	1572	72	2037	3.8
	1573	73	2057	12.31
	1574	74	2052	4.99
	1579	79	2074	10.97
	1581	81	2069	7.28
	1590	90	2029	5.95
	1591	91	2030	7.05
	1593	93	2061	5.73
	1596	96	2274	7.14
	1598	98	2125	5.62
	1610	110	2090	4.39
	1612	112	2106	8.46
	1617	117	2075	6.3
	1618	118	2095	5.92
	1620	120	2100	6.95
	1622	122	2113	6.32
	1623	123	2111	8.98
	1624	24	2207	3.86
	1626	126	2121	8.82
	1627	127	2122	5.04
	1628	128	2260	7.67
	1634	134	2110	5.81
	1635	135	2111	9.84
	1639	139	2262	5.2
	1714	214	2201	7.13
	1716	216	2205	8.93
	1721	221	2155	6.96
	1723	223	2273	5.46
	1731	231	2276	8.58
	1735	235	2089	11.11
	1738	238	2086	8.98
	1803	303	2118	7.57
	1821	321	2251	6.05
	1827	327	2211	5.2
	1852	352	2127	6.31
	1880	380	2069	7.67
	1887	387	2081	3.15
	1899	399	2261	6.84
	2001	2001	825	58.84
	2002	2002	2001	55.2
	2003	2003	2002	59.19
	2004	2004	2304	55.07
	2005	2005	2004	55.87
	2006	2006	2005	54.55
	2007	2007	2006	47.04
	2008	2008	2007	47.54
	2009	2009	2008	46.93
	2010	2010	2009	42.78
	2011	2011	2010	40.86
	2012	2012	2011	40.43
	2013	2013	2012	41.07
	2014	2014	2013	47.29
	2015	2015	2014	38.81
	2016	2016	2015	28.37
	2017	2017	2016	25.22
	2018	2018	2017	22.32
	2019	2019	2018	23.34
	2020	2020	2019	22.38
	2021	2021	2020	21.13
	2022	2022	2021	12.25
	2023	2023	2022	13.76
	2024	2024	2023	13.19
	2025	802	2324	9.09
	2026	805	2022	7.67
	2027	2027	2021	15.46
	2028	2028	2027	8.24
	2029	2029	2027	6.06
	2030	2030	2020	6.56
	2031	806	2319	11.35
	2032	2032	2319	14.02
	2033	809	2032	9.53
	2035	2032	2018	5.64
	2036	2036	2017	10.34
	2037	2037	2036	8.48
